[Trace]   DarkRiftServer        System Details:
[Info]    MMOServerPlugin       Spawned enemy 520
[Info]    MMOServerPlugin       Spawned enemy 521
[Info]    MMOServerPlugin       Spawned enemy 522
[Info]    MMOServerPlugin       Spawned enemy 523
[Info]    MMOServerPlugin       Spawned enemy 524
[Info]    MMOServerPlugin       Spawned enemy 525
[Info]    MMOServerPlugin       Spawned enemy 526
[Info]    MMOServerPlugin       Spawned enemy 527
[Info]    MMOServerPlugin       Spawned enemy 528
[Info]    MMOServerPlugin       Spawned enemy 529
[Info]    MMOServerPlugin       Spawned enemy 530
[Info]    MMOServerPlugin       Spawned enemy 531
[Info]    MMOServerPlugin       Spawned enemy 532
[Info]    MMOServerPlugin       Spawned enemy 533
[Info]    MMOServerPlugin       Spawned enemy 534
[Info]    MMOServerPlugin       Spawned enemy 535
[Info]    MMOServerPlugin       Spawned enemy 536
[Info]    MMOServerPlugin       Spawned enemy 537
[Info]    MMOServerPlugin       Spawned enemy 538
[Info]    MMOServerPlugin       Spawned enemy 539
[Info]    MMOServerPlugin       Spawned enemy 540
[Info]    MMOServerPlugin       Spawned enemy 541
[Info]    MMOServerPlugin       Spawned enemy 542
[Info]    MMOServerPlugin       Spawned enemy 543
[Info]    MMOServerPlugin       Spawned enemy 544
[Info]    MMOServerPlugin       Spawned enemy 545
[Info]    MMOServerPlugin       Spawned enemy 546
[Info]    MMOServerPlugin       Spawned enemy 547
[Info]    MMOServerPlugin       Spawned enemy 548
[Info]    MMOServerPlugin       Spawned enemy 549
[Info]    MMOServerPlugin       Spawned enemy 550
